TITLE AIM5 Antenna deck 

       Reference area = 0.01767 m^2
	   Reference diameter = 0.15 m	

2DIM  az_vs_el_db
NX1 19	NX2 19   // dBi; 19 rows of azimuth (X1), 19 columns of elevation (X2) 
-90		-90	  -2.019 -2.019 -2.019 -2.019 -2.019 -2.019 -2.019 -2.019 -2.019 -2.019 -2.019 -2.019 -2.019 -2.019 -2.019 -2.019
-80		-80	  -1.376 -1.390 -1.442 -1.515 -1.595 -1.670 -1.729 -1.770 -1.792 -1.804 -1.814 -1.836 -1.883 -1.964 -2.085 -2.246
-70		-70	  -1.174 -1.489 -1.876 -2.255 -2.564 -2.781 -2.913 -2.960 -2.912 -2.762 -2.538 -2.301 -2.131 -2.089 -2.209 -2.490
-60		-60	  -1.404 -2.165 -2.736 -2.832 -2.588 -2.351 -2.351 -2.645 -3.142 -3.585 -3.655 -3.294 -2.793 -2.475 -2.495 -2.874
-50		-50	  -1.715 -2.439 -1.852 -0.595 0.360 0.796 0.794 0.400 -0.433 -1.734 -3.217 -4.016 -3.689 -3.075 -2.905 -3.335
-40		-40	  -1.929 -1.586 0.345 1.676 2.010 1.808 1.587 1.476 1.214 0.387 -1.304 -3.467 -4.360 -3.720 -3.333 -3.783
-30		-30	  -2.094 -0.289 1.808 2.071 0.944 0.376 0.806 0.743 0.726 0.937 0.147 -2.115 -4.316 -4.138 -3.641 -4.093
-20		-20	  -2.186 0.676 2.197 0.943 1.047 5.366 7.254 5.819 1.950 0.386 0.764 -0.823 -3.625 -4.171 -3.624 -3.883
-10		-10	  -2.319 1.059 1.939 0.183 5.302 10.737 12.549 10.934 5.864 0.261 0.952 0.159 -2.789 -3.866 -3.055 -2.876
0		0	  -2.704 0.915 1.596 0.418 7.120 12.509 14.269 12.627 7.417 0.426 1.158 0.786 -2.174 -3.258 -2.037 -1.586
10		10	  -3.385 0.326 1.409 0.359 5.577 10.834 12.581 10.895 5.614 -0.020 1.556 0.991 -1.874 -2.425 -1.016 -0.634
20		20	  -4.207 -0.724 1.144 0.656 1.772 5.734 7.336 5.582 1.156 0.523 1.894 0.679 -1.816 -1.591 -0.296 -0.149
30		30	  -4.738 -2.201 0.364 1.160 0.779 0.681 0.784 0.258 0.604 1.740 1.625 -0.176 -1.801 -0.964 0.048 -0.024
40		40	  -4.540 -3.710 -1.254 0.505 1.253 1.402 1.425 1.591 1.791 1.528 0.367 -1.296 -1.680 -0.670 0.005 -0.197
50		50	  -3.719 -4.217 -3.278 -1.688 -0.416 0.346 0.694 0.699 0.322 -0.502 -1.567 -2.083 -1.549 -0.727 -0.351 -0.588
60		60	  -2.765 -3.344 -3.681 -3.537 -3.064 -2.579 -2.291 -2.261 -2.430 -2.606 -2.512 -2.038 -1.405 -0.927 -0.785 -1.014
70		70	  -2.121 -2.313 -2.547 -2.749 -2.872 -2.901 -2.847 -2.719 -2.517 -2.237 -1.900 -1.560 -1.289 -1.150 -1.182 -1.396
80		80	  -1.936 -1.899 -1.884 -1.879 -1.871 -1.852 -1.816 -1.764 -1.698 -1.628 -1.565 -1.523 -1.515 -1.552 -1.640 -1.780
90		90	  -2.090 -2.090 -2.090 -2.090 -2.090 -2.090 -2.090 -2.090 -2.090 -2.090 -2.090 -2.090 -2.090 -2.090 -2.090 -2.090
