simTime	Grav	Gmax	dvta	tgo_aim	UTAA_X	UTAA_Y	UTAA_Z	WOEA_X	WOEA_Y	WOEA_Z
0.000000	9.788990	4.328419	-558.934515	1.789118	0.996195	0.087156	0.000000	0.000000	0.000000	0.024404
0.002000	9.788990	4.352588	-559.381013	1.785691	0.996190	0.087204	-0.000035	0.000000	0.000010	0.024498
0.004000	9.788990	4.401190	-560.275168	1.780843	0.996186	0.087253	-0.000104	0.000000	0.000029	0.024631
0.006000	9.788990	4.450142	-561.169246	1.776007	0.996182	0.087303	-0.000173	0.000000	0.000049	0.024765
0.008000	9.788990	4.499446	-562.063227	1.771184	0.996177	0.087352	-0.000242	0.000000	0.000069	0.024900
0.010000	9.788990	4.549100	-562.957109	1.766373	0.996173	0.087402	-0.000311	0.000000	0.000089	0.025036
0.012000	9.788990	4.599108	-563.850892	1.761575	0.996169	0.087452	-0.000379	0.000000	0.000109	0.025171
0.014000	9.788990	4.651408	-564.745174	1.756787	0.996164	0.087502	-0.000448	0.000000	0.000129	0.025308
0.016000	9.788990	4.704175	-140.625000	1.752008	0.894144	0.439266	0.086902	0.000000	0.000150	0.025445
0.018000	9.788990	4.757412	-140.625000	1.747237	0.924609	0.380917	0.000563	0.000000	0.000170	0.025583
0.020000	9.788990	4.811123	-140.625000	1.742475	0.919701	0.390075	0.044630	0.000000	0.000191	0.025722
0.022000	9.788990	4.865310	-150.000000	1.737721	0.952115	0.305705	-0.004734	0.000000	0.000211	0.025862
0.024000	9.788990	4.919978	-150.000000	1.732976	0.936335	0.344439	0.068099	0.000000	0.000232	0.026002
0.026000	9.788990	4.975128	131.250000	1.728239	0.996138	0.087799	-0.000863	0.000000	0.000253	0.026143
0.028000	9.788990	5.030765	131.250000	1.723511	0.996132	0.087862	-0.000921	0.000000	0.000275	0.026284
0.030000	9.788990	5.086892	131.250000	1.718791	0.996127	0.087916	-0.000988	0.000000	0.000296	0.026426
0.032000	9.788990	5.143512	131.250000	1.714080	0.996124	0.087959	-0.001056	0.000000	0.000317	0.026570
0.034000	9.788990	5.200628	131.250000	1.709377	0.881149	0.469781	-0.053686	0.000000	0.000339	0.026713
0.036000	9.788990	5.258244	131.250000	1.704682	0.894173	-0.430929	0.121471	0.000000	0.000361	0.026858
0.038000	9.788990	5.316363	140.625000	1.699996	0.780962	-0.624572	0.002731	0.000000	0.000383	0.027003
0.040000	9.788990	5.374989	131.250000	1.695318	0.996104	0.088173	-0.001324	0.000000	0.000405	0.027149
0.042000	9.788990	5.434124	131.250000	1.690649	0.996100	0.088224	-0.001393	0.000000	0.000427	0.027296
0.044000	9.788990	5.493773	131.250000	1.685988	0.996094	0.088282	-0.001457	0.000000	0.000449	0.027444
0.046000	9.788990	5.553939	131.250000	1.681335	0.996089	0.088343	-0.001517	0.000000	0.000471	0.027592
0.048000	9.788990	5.614624	131.250000	1.676691	0.996084	0.088398	-0.001583	0.000000	0.000494	0.027741
0.050000	9.788990	5.675834	131.250000	1.672055	0.996082	0.088421	-0.001635	0.000000	0.000517	0.027891
0.052000	9.788990	5.737570	131.250000	1.667427	0.996074	0.088506	-0.001716	0.000000	0.000540	0.028042
0.054000	9.788990	5.799837	140.625000	1.662807	0.143989	-0.017786	-0.989419	0.000000	0.000563	0.028194
0.056000	9.788990	5.862638	140.625000	1.658196	0.498170	0.865698	0.048919	0.000000	0.000586	0.028346
0.058000	9.788990	5.925977	131.250000	1.653593	0.418323	0.908298	0.000965	0.000000	0.000609	0.028499
0.060000	9.788990	5.989857	131.250000	1.648998	0.418323	0.908298	0.000965	0.000000	0.000633	0.028653
0.062000	9.788990	6.054281	131.250000	1.644412	0.996049	0.088787	-0.002039	0.000000	0.000656	0.028808
0.064000	9.788990	6.119254	131.250000	1.639833	0.996049	0.088787	-0.002039	0.000001	0.000680	0.028963
0.066000	9.788990	6.184779	131.250000	1.635263	0.996038	0.088903	-0.002164	0.000001	0.000704	0.029120
0.068000	9.788990	6.250859	131.250000	1.630701	0.996032	0.088962	-0.002236	0.000001	0.000728	0.029277
0.070000	9.788990	6.317499	131.250000	1.626147	0.996027	0.089017	-0.002291	0.000001	0.000752	0.029435
0.072000	9.788990	6.384701	131.250000	1.621601	0.996022	0.089073	-0.002363	0.000001	0.000777	0.029594
0.074000	9.788990	6.452470	131.250000	1.617064	0.996022	0.089073	-0.002363	0.000001	0.000801	0.029754
0.076000	9.788990	6.520808	131.250000	1.612534	0.996022	0.089073	-0.002363	0.000001	0.000826	0.029915
0.078000	9.788990	6.589721	131.250000	1.608012	0.996022	0.089073	-0.002363	0.000001	0.000851	0.030076
0.080000	9.788990	6.659211	131.250000	1.603499	0.996022	0.089073	-0.002363	0.000001	0.000876	0.030239
0.082000	9.788990	6.729283	131.250000	1.598993	0.996022	0.089073	-0.002363	0.000001	0.000901	0.030402
0.084000	9.788990	6.799939	131.250000	1.594496	0.996022	0.089073	-0.002363	0.000001	0.000927	0.030566
0.086000	9.788990	6.871184	131.250000	1.590007	0.995988	0.089447	-0.002804	0.000001	0.000952	0.030731
0.088000	9.788990	6.943022	131.250000	1.585525	0.995988	0.089447	-0.002804	0.000001	0.000978	0.030897
0.090000	9.788990	7.015456	131.250000	1.581052	0.995988	0.089447	-0.002804	0.000001	0.001004	0.031064
0.092000	9.788990	7.088491	131.250000	1.576587	0.995988	0.089447	-0.002804	0.000001	0.001030	0.031232
0.094000	9.788990	7.162129	131.250000	1.572129	0.995988	0.089447	-0.002804	0.000001	0.001056	0.031401
0.096000	9.788990	7.236375	131.250000	1.567680	0.995988	0.089447	-0.002804	0.000001	0.001082	0.031570
0.098000	9.788990	7.311233	131.250000	1.563238	0.995988	0.089447	-0.002804	0.000001	0.001109	0.031741
0.100000	9.788990	7.386707	131.250000	1.558804	0.995988	0.089447	-0.002804	0.000001	0.001136	0.031913
0.102000	9.788990	7.462800	131.250000	1.554379	0.995988	0.089447	-0.002804	0.000001	0.001163	0.032085
0.104000	9.788990	7.539517	131.250000	1.549961	0.995988	0.089447	-0.002804	0.000001	0.001190	0.032258
0.106000	9.788990	7.616861	131.250000	1.545551	0.995988	0.089447	-0.002804	0.000001	0.001217	0.032433
0.108000	9.788990	7.694836	131.250000	1.541149	0.995988	0.089447	-0.002804	0.000001	0.001244	0.032608
0.110000	9.788990	7.748091	131.250000	1.536754	0.995988	0.089447	-0.002804	0.000002	0.001272	0.032785
0.112000	9.788990	7.797666	-140.625000	1.532368	0.995907	0.090308	-0.003609	0.000002	0.001300	0.032962
0.114000	9.788990	7.847489	-140.625000	1.527989	0.995907	0.090308	-0.003609	0.000002	0.001328	0.033140
0.116000	9.788990	7.897560	-140.625000	1.523617	0.995907	0.090308	-0.003609	0.000002	0.001356	0.033320
0.118000	9.788990	7.947879	-140.625000	1.519253	0.995907	0.090308	-0.003609	0.000002	0.001384	0.033500
0.120000	9.788990	7.998449	-140.625000	1.514897	0.995907	0.090308	-0.003609	0.000002	0.001413	0.033681
0.122000	9.788990	8.049271	-140.625000	1.510548	0.528002	-0.082409	0.845235	0.000002	0.001441	0.033864
0.124000	9.788990	8.100344	-150.000000	1.506206	0.633750	0.773359	-0.016645	0.000002	0.001470	0.034047
0.126000	9.788990	8.151671	-140.625000	1.501872	0.995866	0.090749	-0.004033	0.000002	0.001499	0.034232
0.128000	9.788990	8.203251	-140.625000	1.497546	0.995858	0.090829	-0.004097	0.000002	0.001529	0.034417
0.130000	9.788990	8.255087	-140.625000	1.493227	0.995852	0.090890	-0.004151	0.000002	0.001558	0.034604
0.132000	9.788990	8.307180	-140.625000	1.488915	0.995845	0.090969	-0.004218	0.000002	0.001588	0.034791
0.134000	9.788990	8.359529	-140.625000	1.484611	0.995839	0.091031	-0.004273	0.000002	0.001618	0.034980
0.136000	9.788990	8.412137	-140.625000	1.480314	0.733024	-0.679731	0.025325	0.000002	0.001648	0.035170
