1 input_hori.asc Horizontal engagement  '  Missile ' Dec 23 2025 14:57:53
  0  0 20
time            pdynmc          mach            psivlx          thtvlx          
alt             alppx           phipx           gmax            thrust          
mass            dta             max_power       ancomx          alcomx          
tip             alphax          betax           alx             anx             
0               16209.6         0.934793        85              -0.00199989     
10000           0               0               4.32842         28784.3         
63.8            1000            0               0               4.32842         
0.579946        0               -0.000201232    -0              0               
0.02            17214.1         0.963322        85              -0.0412489      
10000           0.0347006       -89.8968        4.81112         28917.8         
63.6694         988.74          689890          0.0100767       1.35937         
0.591457        8.07302e-05     -0.0411369      0.00136662      2.46047e-06     
0.04            18315.2         0.993653        85.0001         -0.0792896      
9999.99         0.103935        -89.8168        5.37499         29184.7         
63.4082         977.302         652109          0.0216096       1.45039         
0.599775        0.000371756     -0.111329       0.00436563      1.396e-05       
0.06            19464.6         1.02436         85.0004         -0.116183       
9999.98         0.181225        -89.7262        5.98986         29451.6         
63.1469         965.681         708430          0.0141721       0.642841        
0.607838        0.000931507     -0.188983       0.00810976      3.87583e-05     
0.08            20663.6         1.05544         85.0007         -0.151983       
9999.97         0.261503        -89.6253        6.65921         29718.5         
62.8857         953.876         714813          0.0467918       1.6153          
0.615645        0.00182314      -0.269984       0.0124544       8.14516e-05     
0.1             21913.6         1.08689         85.0012         -0.18674        
9999.95         0.349933        -89.4916        7.38671         29985.4         
62.6245         941.885         686224          0.0606563       1.70466         
0.623194        0.00327844      -0.359176       0.017721        0.000157243     
0.12            23215.8         1.11871         85.0019         -0.220499       
9999.92         0.44576         -89.3384        7.99845         30252.3         
62.3633         929.706         599374          0.0808332       1.92749         
0.630485        0.00539251      -0.455745       0.0239693       0.000276786     
0.14            24572.6         1.15094         85.0028         -0.253304       
9999.9          0.547611        -89.1746        8.51813         30519.2         
62.102          917.336         706342          0.0881922       1.83404         
0.637527        0.00820238      -0.558012       0.0312269       0.000449865     
0.16            25986           1.18357         85.004          -0.285193       
9999.86         0.655203        -89.0018        9.06395         30786.1         
61.8408         904.773         822741          0.0941935       1.74849         
0.644323        0.0118149       -0.666209       0.0395864       0.000689707     
0.18            27457.3         1.21662         85.0053         -0.316204       
9999.82         0.768646        -88.8214        9.63697         31053           
61.5796         892.015         633874          0.126636        2.12575         
0.650869        0.016303        -0.780166       0.0491623       0.00101141      
0.2             28988.4         1.25007         85.007          -0.34637        
9999.78         0.888364        -88.6337        10.2383         31319.9         
61.3184         879.059         897861          0.14882         2.28778         
0.657165        0.0217783       -0.900425       0.0600992       0.00143341      
0.22            30581           1.28395         85.0089         -0.375722       
9999.73         1.01428         -88.4407        10.869          31586.8         
61.0571         865.903         815501          0.189602        2.70006         
0.663209        0.0283059       -1.02682        0.0725195       0.00197416      
0.24            32236.6         1.31824         85.0112         -0.40429        
9999.68         1.14626         -88.2439        11.5304         31853.7         
60.7959         852.544         767891          0.201363        2.6758          
0.668999        0.0359446       -1.15918        0.0865467       0.00265347      
0.26            33957.2         1.35296         85.0138         -0.4321         
9999.62         1.28343         -88.046         12.2235         32120.6         
60.5347         838.98          888195          0.226665        2.82986         
0.674536        0.0446966       -1.29667        0.102254        0.00348864      
0.28            35744.6         1.3881          85.0168         -0.459179       
9999.56         1.42578         -87.8471        12.9498         32387.4         
60.2735         825.209         898612          0.253809        2.99436         
0.679816        0.0546172       -1.43925        0.119776        0.00450266      
0.3             37600.5         1.42367         85.0203         -0.485548       
9999.49         1.57297         -87.6481        13.6221         32654.3         
60.0122         811.228         815601          0.282961        3.17027         
0.68484         0.0657051       -1.5863         0.139806        0.00574197      
0.32            39526.9         1.45968         85.0242         -0.511229       
9999.41         1.72135         -87.4546        14.2718         32921.2         
59.751          797.034         621300          0.31431         3.35869         
0.689608        0.0777333       -1.73475        0.162097        0.00720602      
0.34            41525.9         1.49612         85.0286         -0.536242       
9999.33         1.87517         -87.2587        14.9409         33188.1         
59.4898         782.626         686650          0.348068        3.56084         
0.694116        0.0911155       -1.88865        0.186976        0.00895273      
0.36            43599.3         1.53301         85.0335         -0.560604       
9999.25         2.03437         -87.0613        15.6297         33455           
59.2286         768             863084          0.384474        3.77812         
0.698362        0.105882        -2.04785        0.214664        0.0110199       
0.38            45749.1         1.57034         85.039          -0.58433        
9999.15         2.19898         -86.8629        16.3383         33721.9         
58.9673         753.154         795293          0.452052        4.27957         
0.702344        0.122093        -2.21246        0.245407        0.0134501       
0.4             47977.6         1.60812         85.0452         -0.607436       
9999.05         2.36843         -86.6649        17.0666         33988.8         
58.7061         738.086         905804          0.466348        4.26453         
0.706063        0.139671        -2.3814         0.279397        0.0162815       
0.42            50286.8         1.64635         85.052          -0.629933       
9998.95         2.54108         -86.4692        17.8149         34255.7         
58.4449         722.794         879254          0.478307        4.23497         
0.709517        0.158538        -2.55359        0.316694        0.0195408       
0.44            52678.9         1.68504         85.0595         -0.651833       
9998.84         2.71652         -86.2757        18.5831         34522.6         
58.1837         707.274         685396          0.525066        4.511           
0.712707        0.178652        -2.72838        0.357497        0.0232703       
0.46            55156.1         1.72419         85.0678         -0.673148       
9998.72         2.895           -86.0839        19.3712         34789.5         
57.9224         691.524         827703          0.575963        4.81081         
0.715631        0.20009         -2.90617        0.402094        0.0275255       
0.48            57720.7         1.7638          85.0769         -0.693884       
9998.59         3.07714         -85.8929        20.1791         35056.4         
57.6612         675.541         934274          0.631492        5.13724         
0.718287        0.222955        -3.08754        0.450853        0.0323741       
0.5             60375.1         1.80388         85.0869         -0.714051       
9998.46         3.26384         -85.7017        21.0161         35323.3         
57.4            659.324         904284          0.692222        5.49361         
0.720673        0.247407        -3.27347        0.503874        0.0378715       
0.52            63122.6         1.84445         85.0978         -0.733655       
9998.32         3.45569         -85.5101        21.9782         35611.8         
57.1            642.87          649312          0.758824        5.88381         
0.72194         0.273541        -3.46437        0.558588        0.0438632       
0.54            65967.2         1.88553         85.1095         -0.752703       
9998.18         3.65264         -85.3182        22.9747         35900.4         
56.8            626.175         862170          0.832084        6.31244         
0.722944        0.301404        -3.66027        0.617913        0.0506039       
0.56            68911.7         1.92713         85.1222         -0.771199       
9998.02         3.85558         -85.1257        24.0052         36189           
56.5            609.238         853413          0.912912        6.7848          
0.723681        0.331166        -3.86208        0.682302        0.0581857       
0.58            71958.8         1.96925         85.1359         -0.789144       
9997.87         4.06503         -84.9324        25.0702         36477.5         
56.2            592.056         777012          1.00238         7.3071          
0.724149        0.362938        -4.07022        0.752184        0.066702        
0.6             75111.1         2.0119          85.1507         -0.806539       
9997.7          4.28051         -84.7391        26.1706         36766.1         
55.9            574.626         857095          1.10177         7.88675         
0.724346        0.39665         -4.28394        0.82783         0.0762256       
0.62            78371.5         2.05507         85.1666         -0.823384       
9997.53         4.49933         -84.5479        27.3071         37054.6         
55.6            556.945         866716          1.2126          8.53259         
0.724277        0.431891        -4.50017        0.909058        0.0867661       
0.64            81742.9         2.09878         85.1837         -0.839679       
9997.34         4.71782         -84.3606        28.4803         37343.2         
55.3            539.012         705121          1.33687         9.25642         
0.723951        0.468447        -4.71718        0.995406        0.0982924       
0.66            85228.1         2.14303         85.202          -0.855421       
9997.16         4.94789         -84.169         29.6911         37631.7         
55              520.824         937922          1.14576         7.77158         
0.723336        0.507942        -4.94516        1.08973         0.111286        
0.68            88830           2.18781         85.2219         -0.870578       
9996.96         5.17008         -83.9861        30.94           37920.3         
54.7            502.379         843859          1.24835         8.43052         
0.722483        0.547025        -5.16292        1.23074         0.129658        
0.7             92551           2.23313         85.2441         -0.885082       
9996.76         5.38441         -83.81          32.2277         38208.8         
54.4            483.675         718270          1.63693         10.8176         
0.721394        0.586253        -5.37398        1.39438         0.151233        
0.72            96393.8         2.27898         85.2686         -0.898912       
9996.55         5.60973         -83.6279        33.5548         38497.4         
54.1            464.709         870751          2.16158         14.1566         
0.720013        0.629145        -5.5988         1.5791          0.176345        
0.74            100361          2.32537         85.2959         -0.912015       
9996.33         5.86643         -83.4305        34.9218         38786           
53.8            445.482         809752          2.41321         15.617          
0.718277        0.678762        -5.8548         1.79879         0.207156        
0.76            104457          2.3723          85.3265         -0.924315       
9996.1          6.15565         -83.2205        36.3294         39074.5         
53.5            425.991         903290          2.52389         16.1511         
0.716173        0.73541         -6.1426         2.05864         0.24473         
0.78            108682          2.41976         85.3608         -0.935734       
9995.87         6.46841         -83.0051        37.7781         39363.1         
53.2            406.235         891712          3.04306         19.2693         
0.713724        0.797531        -6.45211        2.35789         0.2893          
0.8             113041          2.46776         85.3994         -0.946188       
9995.63         6.8098          -82.7832        39.2685         39651.6         
52.9            386.216         812146          3.44101         21.5754         
0.710905        0.866748        -6.791          2.7045          0.342464        
0.82            117535          2.51629         85.4428         -0.955566       
9995.38         7.18599         -82.5541        40.8765         39940.2         
52.6            365.932         933625          3.91252         24.3068         
0.707686        0.944198        -7.16394        3.1109          0.406571        
0.84            122108          2.56473         85.4919         -0.96373        
9995.12         7.6009          -82.319         42.6641         38999.7         
52.3111         345.388         634255          4.47585         27.5692         
0.71962         1.03097         -7.57543        3.58581         0.483613        
0.86            126667          2.61212         85.5474         -0.970531       
9994.86         8.0626          -82.0774        44.464          38059.3         
52.0222         324.593         855943          5.49844         33.6002         
0.730836        1.12895         -8.03333        4.13399         0.575304        
0.88            131205          2.65844         85.6104         -0.975788       
9994.59         8.58581         -81.8258        46.2744         37118.8         
51.7333         303.562         846213          5.98315         36.2962         
0.74122         1.24178         -8.55277        4.77417         0.685771        
0.9             135713          2.70366         85.6819         -0.979272       
9994.32         9.16477         -81.569         48.093          36178.3         
51.4444         282.31          778152          1.12381         6.65721         
0.750736        1.36805         -9.12295        5.50949         0.816618        
0.92            140184          2.74779         85.7628         -0.980787       
9994.04         9.77457         -81.3149        49.9174         35237.9         
51.1556         260.859         899159          7.74343         46.3811         
0.759453        1.50469         -9.72487        6.3245          0.966103        
0.94            144609          2.79075         85.8552         -0.979919       
9993.75         10.4492         -81.0533        51.7443         34297.4         
50.8667         239.234         902447          8.56589         51.0304         
0.767144        1.65906         -10.3899        7.49676         1.18022         
0.96            148969          2.83245         85.9642         -0.975771       
9993.47         11.19           -80.7842        53.5673         33357           
50.5778         217.468         747890          8.90903         52.8213         
0.773717        1.83289         -11.1193        8.94585         1.45145         
0.98            153251          2.87281         86.0916         -0.967876       
9993.18         11.985          -80.5108        55.3824         32416.5         
50.2889         195.609         853615          9.24796         54.6048         
0.77917         2.02417         -11.8981        10.5369         1.76122         
1               157448          2.91181         86.2385         -0.955874       
9992.88         12.8011         -80.2405        57.1862         31476.1         
50              173.722         741766          4.61885         26.775          
0.783663        2.22615         -12.6918        12.2199         2.10184         
1.02            161573          2.94965         86.405          -0.939577       
9992.59         13.6067         -79.9777        58.8938         30983.9         
49.796          151.908         830980          9.89336         58.0569         
0.782452        2.43318         -13.4734        13.9207         2.46016         
1.04            165657          2.98663         86.5911         -0.918833       
9992.3          14.4029         -79.7199        60.5893         30491.8         
49.592          130.33          876410          10.1974         59.725          
0.780576        2.64554         -14.2433        15.6588         2.84008         
1.06            169696          3.02275         86.7967         -0.893495       
9992.02         15.1845         -79.4671        62.281          29999.7         
49.388          109.272         755161          10.493          61.3907         
0.778104        2.86201         -14.997         17.4211         3.23916         
1.08            173674          3.05791         87.0216         -0.863452       
9991.74         15.9419         -79.2204        63.9637         29507.5         
49.184          89.2787         955762          10.7755         63.0495         
0.77514         3.0799          -15.7246        19.1887         3.65335         
-1.0            175637          3.07511         87.1412         -0.846643       
9991.6          16.3087         -79.0996        64.8003         29261.5         
49.082          79.9923         783864          10.9092         63.8754         
0.773511        3.18857         -16.0761        20.0707         3.86513         
